category,brand,name_of_item,quantity,cost,comments
Puce,GMC,Jimmy,61,690480,auctor gravida sem
Red,Ford,F250,86,943245,sociis natoque penatibus et magnis
Teal,Jaguar,XJ Series,66,602040,felis fusce
Purple,Suzuki,Aerio,29,523168,curabitur at
Violet,Mitsubishi,Eclipse,17,334934,feugiat non pretium quis
Indigo,Chevrolet,Suburban,33,820176,nascetur ridiculus mus vivamus
Indigo,Lexus,ES,51,950942,aliquam non
Goldenrod,Bentley,Continental,14,994969,felis fusce posuere felis
Indigo,Subaru,Impreza,94,114352,diam neque vestibulum eget vulputate
Indigo,Subaru,SVX,49,994563,donec ut mauris
Puce,Saab,9-5,18,849106,sapien cursus vestibulum proin eu
Blue,Mitsubishi,Chariot,33,664758,nisi volutpat eleifend donec
Khaki,Kia,Optima,31,775349,felis ut at
Orange,Audi,Q5,66,970233,id pretium iaculis
Mauv,Volkswagen,Touareg,88,790129,dolor sit amet consectetuer adipiscing
Turquoise,Pontiac,Trans Sport,24,666646,ut odio cras
Orange,Ford,F250,15,626010,non interdum in ante
Aquamarine,Chevrolet,S10,68,768101,cras pellentesque volutpat
Fuscia,Aston Martin,V8 Vantage,58,735401,suspendisse ornare consequat lectus in
Indigo,Bentley,Azure,1,686354,laoreet ut
Puce,Geo,Prizm,87,989243,sed tristique in tempus
Khaki,Saab,900,19,627953,tincidunt nulla mollis molestie
Pink,Chevrolet,Suburban 2500,1,556216,turpis enim blandit
Crimson,Land Rover,Freelander,78,174299,proin leo odio porttitor id
Turquoise,Infiniti,FX,43,516187,id consequat
Pink,Dodge,Ram Van B250,99,148315,cubilia curae
Maroon,Pontiac,Grand Am,44,809950,nulla suspendisse potenti cras
Pink,Cadillac,Escalade EXT,66,566949,turpis integer aliquet
Yellow,Cadillac,Eldorado,13,588813,justo morbi ut odio cras
Pink,Dodge,Neon,70,119626,non mauris morbi non lectus
Khaki,Chrysler,LHS,12,724335,justo etiam pretium iaculis justo
Indigo,Buick,Park Avenue,89,433829,porttitor id consequat
Pink,Volkswagen,Passat,15,442261,feugiat et eros vestibulum
Violet,Volvo,S80,72,141312,duis mattis egestas metus aenean
Mauv,Volkswagen,rio,33,878404,integer aliquet massa id
Green,Mercury,Mountaineer,32,471891,justo pellentesque
Fuscia,Pontiac,Montana SV6,61,304473,semper sapien a libero nam
Purple,Volkswagen,Type 2,30,111950,dapibus augue
Puce,Lamborghini,Countach,6,62879,nec euismod scelerisque quam turpis
Orange,Chrysler,Concorde,91,253431,enim leo rhoncus
Teal,Nissan,Pathfinder,4,976489,non mi integer
Blue,Daewoo,Leganza,66,88541,nonummy maecenas tincidunt
Mauv,Acura,CL,91,472219,semper est quam pharetra
Violet,Audi,S8,64,163758,porttitor lacus at turpis donec
Red,Ford,EXP,54,628874,placerat praesent blandit nam
Mauv,Ford,Focus,7,480367,varius ut blandit non interdum
Teal,Ford,Econoline E250,67,312658,posuere nonummy
Indigo,Acura,TSX,71,135176,magnis dis parturient montes
Fuscia,Dodge,Stratus,51,221675,mauris lacinia sapien quis
Green,Subaru,Impreza,73,297826,maecenas ut massa
